yyyymm,currency,rate
199405,INR,31.37
199406,INR,31.37
199407,INR,31.37
199408,INR,31.3688
199409,INR,31.3625
199410,INR,31.3763
199411,INR,31.395
199412,INR,31.3688
199501,INR,31.375
199502,INR,31.4263
199503,INR,31.415
199504,INR,31.4325
199505,INR,31.425
199506,INR,31.4
199507,INR,31.415
199508,INR,31.855
199509,INR,33.925
199510,INR,34.2
199511,INR,34.895
199512,INR,35.165
199601,INR,36.435
199602,INR,34.675
199603,INR,34.1
199604,INR,34.75
199605,INR,35.03
199606,INR,35.23
199607,INR,35.55
199608,INR,35.67
199609,INR,35.65
199610,INR,35.6
199611,INR,35.72
199612,INR,35.825
199701,INR,35.875
199702,INR,35.88
199703,INR,35.875
199704,INR,35.755
199705,INR,35.775
199706,INR,35.8
199707,INR,35.695
199708,INR,36.33
199709,INR,36.17
199710,INR,36.365
199711,INR,38.585
199712,INR,39.21
199801,INR,38.82
199802,INR,39.35
199803,INR,39.4825
199804,INR,39.715
199805,INR,41.675
199806,INR,42.375
199807,INR,42.54
199808,INR,42.52
199809,INR,42.4028
199810,INR,42.36
199811,INR,42.58
199812,INR,42.4963
199901,INR,42.505
199902,INR,42.675
199903,INR,42.43
199904,INR,42.78
199905,INR,42.85
199906,INR,43.3613
199907,INR,43.31
199908,INR,43.4675
199909,INR,43.595
199910,INR,43.39
199911,INR,43.4175
199912,INR,43.5175
200001,INR,43.6288
200002,INR,43.6113
200003,INR,43.605
200004,INR,43.6575
200005,INR,44.576
200006,INR,44.6725
200007,INR,45.02
200008,INR,45.77
200009,INR,46.035
200010,INR,46.835
200011,INR,46.855
200012,INR,46.68
200101,INR,46.395
200102,INR,46.555
200103,INR,46.625
200104,INR,46.83
200105,INR,47.01
200106,INR,47.04
200107,INR,47.13
200108,INR,47.14
200109,INR,47.85
200110,INR,47.99
200111,INR,47.93
200112,INR,48.22
200201,INR,48.51
200202,INR,48.73
200203,INR,48.78
200204,INR,48.93
200205,INR,49.01
200206,INR,48.86
200207,INR,48.64
200208,INR,48.47
200209,INR,48.35
200210,INR,48.34
200211,INR,48.31
200212,INR,47.95
200301,INR,47.8035
200302,INR,47.665
200303,INR,47.46
200304,INR,47.345
200305,INR,47.02
200306,INR,46.47
200307,INR,46.142
200308,INR,45.84
200309,INR,45.76
200310,INR,45.32
200311,INR,45.77
200312,INR,45.625
200401,INR,45.295
200402,INR,45.235
200403,INR,43.42
200404,INR,44.47
200405,INR,45.39
200406,INR,45.975
200407,INR,46.375
200408,INR,46.345
200409,INR,46.0
200410,INR,45.365
200411,INR,44.49
200412,INR,43.47
200501,INR,43.655
200502,INR,43.6
200503,INR,43.665
200504,INR,43.53
200505,INR,43.745
200506,INR,43.48
200507,INR,43.44
200508,INR,44.09
200509,INR,43.965
200510,INR,45.105
200511,INR,45.9
200512,INR,45.01
200601,INR,44.125
200602,INR,44.37
200603,INR,44.565
200604,INR,44.915
200605,INR,46.3
200606,INR,46.04
200607,INR,46.56
200608,INR,46.535
200609,INR,45.925
200610,INR,45.03
200611,INR,44.732
200612,INR,44.26
200701,INR,44.162
200702,INR,44.275
200703,INR,43.465
200704,INR,41.19
200705,INR,40.605
200706,INR,40.7275
200707,INR,40.3825
200708,INR,40.875
200709,INR,39.8475
200710,INR,39.3235
200711,INR,39.625
200712,INR,39.415
200801,INR,39.375
200802,INR,40.015
200803,INR,40.12
200804,INR,40.515
200805,INR,42.455
200806,INR,43.025
200807,INR,42.575
200808,INR,43.935
200809,INR,46.965
200810,INR,49.45
200811,INR,50.085
200812,INR,48.72
200901,INR,48.88
200902,INR,51.14
200903,INR,50.735
200904,INR,50.035
200905,INR,47.115
200906,INR,47.905
200907,INR,47.95
200908,INR,48.825
200909,INR,48.105
200910,INR,46.965
200911,INR,46.515
200912,INR,46.535
201001,INR,46.17
201002,INR,46.105
201003,INR,44.895
201004,INR,44.36
201005,INR,46.365
201006,INR,46.445
201007,INR,46.405
201008,INR,47.04
201009,INR,44.935
201010,INR,44.425
201011,INR,45.885
201012,INR,44.715
201101,INR,45.91
201102,INR,45.265
201103,INR,44.595
201104,INR,44.215
201105,INR,45.045
201106,INR,44.7025
201107,INR,44.19
201108,INR,46.05
201109,INR,48.975
201110,INR,48.695
201111,INR,52.205
201112,INR,53.105
201201,INR,49.445
201202,INR,49.01
